Abby,Dog,2017-04-19 09:01:00.0000000,Distemper Virus,N-178784096,NULL,ashley.flores@animalshelter.com
Abby,Dog,2018-04-19 10:44:00.0000000,Distemper Virus,L-107687717,NULL,wanda.myers@animalshelter.com
Angel,Dog,2017-05-04 10:38:00.0000000,Distemper Virus,L-353180534,NULL,wanda.myers@animalshelter.com
Angel,Dog,2018-05-04 09:47:00.0000000,Distemper Virus,A-271237673,NULL,wanda.myers@animalshelter.com
Angel,Dog,2017-05-04 12:49:00.0000000,Rabies,V-180603107,NULL,wanda.myers@animalshelter.com
Angel,Dog,2018-05-04 11:18:00.0000000,Rabies,P-118670651,NULL,ashley.flores@animalshelter.com
Archie,Cat,2017-11-20 09:35:00.0000000,Calicivirus,J-460970834,NULL,ashley.flores@animalshelter.com
Archie,Cat,2017-11-20 13:25:00.0000000,Panleukopenia Virus,F-164759480,NULL,ashley.flores@animalshelter.com
Aspen,Dog,2016-09-28 07:36:00.0000000,Adenovirus,M-471677500,NULL,wanda.myers@animalshelter.com
Aspen,Dog,2017-09-29 12:35:00.0000000,Adenovirus,V-256362103,NULL,wanda.myers@animalshelter.com
Aspen,Dog,2016-09-28 10:01:00.0000000,Distemper Virus,N-147820695,NULL,ashley.flores@animalshelter.com
Aspen,Dog,2016-09-28 07:41:00.0000000,Rabies,K-430117096,NULL,wanda.myers@animalshelter.com
Aspen,Dog,2017-09-29 07:32:00.0000000,Rabies,B-384980558,NULL,ashley.flores@animalshelter.com
Baloo,Rabbit,2016-09-01 07:00:00.0000000,Rabies,V-411899194,NULL,wanda.myers@animalshelter.com
Benny,Dog,2019-01-02 09:44:00.0000000,Adenovirus,D-237655965,NULL,ashley.flores@animalshelter.com
Benny,Dog,2019-01-02 13:19:00.0000000,Rabies,H-405534627,NULL,robin.murphy@animalshelter.com
Bon bon,Rabbit,2018-12-27 13:39:00.0000000,Myxomatosis,I-176340730,NULL,dennis.hill@animalshelter.com
Bon bon,Rabbit,2019-12-27 13:32:00.0000000,Myxomatosis,O-237649828,NULL,ashley.flores@animalshelter.com
Bon bon,Rabbit,2016-12-26 12:08:00.0000000,Rabies,N-100666243,NULL,wanda.myers@animalshelter.com
Bon bon,Rabbit,2017-12-27 10:09:00.0000000,Rabies,Z-365201947,NULL,wanda.myers@animalshelter.com
Bon bon,Rabbit,2018-12-27 11:09:00.0000000,Rabies,O-282699517,NULL,robin.murphy@animalshelter.com
Bon bon,Rabbit,2019-12-27 09:23:00.0000000,Rabies,C-219506249,NULL,gerald.reyes@animalshelter.com
Boomer,Dog,2019-09-03 11:58:00.0000000,Rabies,D-353567999,NULL,gerald.reyes@animalshelter.com
Brutus,Dog,2018-11-28 12:26:00.0000000,Adenovirus,"K-99075733 ",NULL,wanda.myers@animalshelter.com
Brutus,Dog,2018-11-28 07:17:00.0000000,Distemper Virus,U-104436672,NULL,wayne.carter@animalshelter.com
Cooper,Dog,2017-10-13 09:41:00.0000000,Distemper Virus,K-334308175,NULL,ashley.flores@animalshelter.com
Dolly,Dog,2018-09-27 08:16:00.0000000,Adenovirus,F-202325284,NULL,ashley.flores@animalshelter.com
Dolly,Dog,2019-09-27 10:29:00.0000000,Adenovirus,O-402995062,NULL,wayne.carter@animalshelter.com
Dolly,Dog,2018-09-27 14:45:00.0000000,Rabies,T-302536393,NULL,robin.murphy@animalshelter.com
